zone_id,n_samples,n_train,n_val,n_test,l1_accuracy,l1_recall,l1_f1,l2_accuracy,l2_recall,l2_f1,accuracy,f1_macro,f1_micro,f1_weighted,recall_NO_INJURY,recall_MINOR,recall_SEVERE,skipped,skip_reason
10,28327,18128,4533,5666,0.7635015884221673,0.6738868832731648,0.45528455284552843,0.7593261131167268,0.5227272727272727,0.3150684931506849,0.7326156018355101,0.45625046422497434,0.7326156018355101,0.772790293676793,0.7777777777777778,0.4673913043478261,0.4659090909090909,False,
11,78313,50120,12530,15663,0.7888654791546957,0.7198932926829268,0.5332392378263938,0.6185213414634146,0.7388535031847133,0.3167235494880546,0.7328736512800869,0.4598696128974263,0.7328736512800869,0.772468274100393,0.8007803534542116,0.35513608428446003,0.6464968152866242,False,
12,47737,30551,7638,9548,0.8148303309593632,0.7168,0.503370786516854,0.6512,0.7058823529411765,0.3057324840764331,0.7762882279011312,0.46650947507229334,0.7762882279011312,0.8140654066284571,0.8277022965011422,0.40730593607305937,0.6029411764705882,False,
13,2794,1788,447,559,0.7209302325581395,0.6666666666666666,0.38095238095238093,0.625,0.5454545454545454,0.3076923076923077,0.6815742397137746,0.3966773391569349,0.6815742397137746,0.7445898281137211,0.7259713701431493,0.3559322033898305,0.45454545454545453,False,
14,35999,23039,5760,7200,0.80625,0.6764705882352942,0.5054945054945055,0.6925996204933587,0.6640625,0.3441295546558704,0.7655555555555555,0.4757845374563014,0.7655555555555555,0.7966002158812312,0.8258190074602659,0.37969094922737306,0.59375,False,
15,20700,13248,3312,4140,0.7990338164251207,0.6697588126159555,0.4646074646074646,0.588126159554731,0.8070175438596491,0.2929936305732484,0.7574879227053141,0.4358629681441733,0.7574879227053141,0.7985755321978889,0.8165696868938764,0.3270042194092827,0.5964912280701754,False,
16,68,43,11,14,0.2857142857142857,1.0,0.2857142857142857,1.0,0.0,0.0,0.2857142857142857,0.20634920634920637,0.2857142857142857,0.2925170068027211,0.16666666666666666,1.0,0.0,False,
17,35086,22454,5614,7018,0.774437161584497,0.7039877300613497,0.5369991225504533,0.6334355828220859,0.676829268292683,0.3171428571428571,0.7182958107722998,0.46526616653111236,0.7182958107722998,0.7549721387579768,0.7880321004884857,0.3841354723707665,0.5670731707317073,False,
18,56582,36212,9053,11317,0.7928779711937792,0.7135714285714285,0.4601566098572087,0.6942857142857143,0.73125,0.35347432024169184,0.7585049041265353,0.4581786222403048,0.7585049041265353,0.801260551710473,0.8022132796780684,0.41577649958915364,0.65,False,
19,31748,20318,5080,6350,0.769763779527559,0.7075588599752168,0.43855606758832566,0.5960346964064436,0.6991150442477876,0.32644628099173556,0.7281889763779528,0.428206481434153,0.7281889763779528,0.7824350431604328,0.7772776377385668,0.3601756954612006,0.5398230088495575,False,
20,21126,13520,3380,4226,0.7605300520586843,0.6828828828828829,0.42824858757062145,0.5621621621621622,0.7014925373134329,0.2789317507418398,0.7169900615238997,0.41604710993318084,0.7169900615238997,0.773470929664824,0.7707993474714518,0.33264033264033266,0.5223880597014925,False,
21,36577,23408,5853,7316,0.8019409513395298,0.6787687450670876,0.5427579678131903,0.5864246250986582,0.73125,0.3087071240105541,0.7453526517222526,0.45926365709032746,0.7453526517222526,0.7773867741106082,0.825148319050758,0.3318014705882353,0.53125,False,
22,12243,7835,1959,2449,0.736218864842793,0.7441860465116279,0.4421416234887737,0.5494186046511628,0.8043478260869565,0.3231441048034934,0.6827276439363005,0.4087335688654045,0.6827276439363005,0.7457390554408202,0.7331753554502369,0.32764505119453924,0.6304347826086957,False,
23,3038,1944,486,608,0.6546052631578947,0.7831325301204819,0.38235294117647056,0.3132530120481928,1.0,0.2597402597402597,0.5773026315789473,0.32769908036268025,0.5773026315789473,0.6753560533194595,0.6306818181818182,0.12857142857142856,0.9,False,
24,47480,30387,7597,9496,0.7962299915754002,0.6789838337182448,0.4768856447688564,0.6936104695919938,0.6687116564417178,0.3538961038961039,0.7595829823083403,0.4600316873198614,0.7595829823083403,0.7971440767489386,0.8125304136253041,0.40161725067385445,0.5337423312883436,False,
